# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:1072,num_snp_partitions:1,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
0 1 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
1 2 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
2 3 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
3 4 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
4 5 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
5 6 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
6 7 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
7 8 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
8 9 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
9 10 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
10 11 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
11 12 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
12 13 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
13 14 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
14 15 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
15 16 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
16 17 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
17 18 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
18 19 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
19 20 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
20 21 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
21 22 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
22 23 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
23 24 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
24 25 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
25 26 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
26 27 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
27 28 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
28 29 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
29 30 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
30 31 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
31 32 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
32 33 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
33 34 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
34 35 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
35 37 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
37 38 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
38 39 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
39 40 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
40 41 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
41 42 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
42 43 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
43 44 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
44 45 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
45 46 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
46 47 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
47 48 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
48 49 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
49 50 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
50 51 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
51 52 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
52 53 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
53 54 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
54 55 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
55 56 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
56 57 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
57 58 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
58 59 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
59 60 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
60 61 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
61 62 6.1247e+00 6.0019e+00 6.0388e+00 6.5569e+00
