# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:1541,num_snp_partitions:1,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
0 1 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
1 2 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
2 3 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
3 4 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
4 5 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
5 6 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
6 7 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
7 8 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
8 9 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
9 10 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
10 11 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
11 12 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
12 13 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
13 14 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
14 15 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
15 16 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
16 17 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
17 18 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
18 19 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
19 20 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
20 21 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
21 22 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
22 23 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
23 24 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
24 25 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
25 26 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
26 27 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
27 28 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
28 29 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
29 30 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
30 31 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
31 32 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
32 33 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
33 34 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
34 35 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
35 36 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
36 37 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
37 38 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
38 39 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
39 40 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
40 41 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
41 42 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
42 43 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
43 44 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
44 45 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
45 46 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
46 47 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
47 48 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
48 49 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
49 50 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
50 51 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
51 52 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
52 53 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
53 54 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
54 55 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
55 56 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
56 57 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
57 58 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
58 59 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
59 60 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
60 61 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
61 62 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
62 63 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
63 64 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
64 65 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
65 66 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
66 67 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
67 68 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
68 69 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
69 70 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
70 71 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
71 72 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
72 73 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
73 74 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
74 75 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
75 76 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
76 77 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
77 78 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
78 79 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
79 80 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
80 81 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
81 82 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
82 83 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
83 85 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
85 86 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
86 87 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
87 88 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
88 89 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
89 90 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
90 91 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
91 92 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
92 93 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
93 94 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
94 95 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
95 96 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
96 97 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
97 98 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
98 99 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
99 100 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
100 101 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
101 102 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
102 103 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
103 104 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
104 105 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
105 106 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
106 108 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
108 109 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
109 110 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
110 111 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
111 112 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
112 113 6.1347e+00 5.4642e+00 6.0790e+00 6.9408e+00
