# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:1404,num_snp_partitions:1,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
0 1 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
1 2 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
2 3 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
3 4 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
4 5 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
5 6 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
6 7 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
7 8 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
8 9 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
9 10 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
10 11 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
11 12 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
12 13 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
13 14 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
14 15 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
15 16 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
16 17 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
17 18 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
18 19 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
19 20 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
20 21 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
21 22 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
22 23 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
23 24 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
24 25 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
25 26 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
26 27 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
27 28 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
28 29 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
29 30 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
30 31 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
31 32 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
32 33 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
33 34 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
34 35 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
35 36 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
36 37 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
37 38 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
38 39 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
39 40 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
40 41 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
41 42 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
42 43 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
43 44 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
44 45 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
45 46 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
46 47 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
47 48 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
48 49 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
49 50 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
50 51 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
51 52 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
52 53 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
53 54 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
54 55 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
55 56 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
56 57 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
57 58 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
58 59 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
59 60 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
60 61 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
61 62 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
62 63 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
63 64 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
64 65 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
65 66 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
66 67 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
67 68 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
68 69 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
69 70 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
70 71 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
71 72 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
72 73 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
73 74 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
74 75 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
75 76 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
76 77 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
77 78 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
78 79 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
79 80 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
80 81 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
81 82 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
82 83 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
83 84 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
84 85 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
85 86 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
86 87 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
87 88 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
88 89 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
89 90 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
90 91 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
91 93 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
93 94 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
94 95 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
95 96 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
96 97 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
97 98 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
98 99 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
99 100 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
100 102 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
102 103 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
103 104 7.9941e-01 7.5091e-01 7.9993e-01 8.4363e-01
