# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:616,num_snp_partitions:1,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
0 1 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
1 2 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
2 3 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
3 4 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
4 5 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
5 6 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
6 7 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
7 8 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
8 9 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
9 10 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
10 11 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
11 12 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
12 13 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
13 14 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
14 15 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
15 16 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
16 17 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
17 20 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
20 21 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
21 22 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
22 23 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
23 25 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
25 26 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
26 27 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
27 28 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
28 29 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
29 30 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
30 31 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
31 32 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
32 33 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
33 34 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
34 35 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
35 36 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
36 37 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
37 38 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
38 39 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
39 40 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
40 41 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
41 42 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
42 43 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
43 44 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
44 45 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
45 46 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
46 47 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
47 48 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
48 51 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
51 52 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
52 53 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
53 54 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
54 55 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
55 56 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
56 57 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
57 58 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
58 59 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
59 60 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
60 61 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
61 62 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
62 63 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
63 64 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
64 65 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
65 68 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
68 69 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
69 71 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
71 72 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
72 73 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
73 74 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
74 75 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
75 76 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
76 77 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
77 78 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
78 79 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
79 80 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
80 81 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
81 82 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
82 84 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
84 85 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
85 86 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
86 87 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
87 88 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
88 89 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
89 90 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
90 91 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
91 92 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
92 93 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
93 94 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
94 95 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
95 96 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
96 97 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
97 98 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
98 99 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
99 100 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
100 101 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
101 102 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
102 103 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
103 104 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
104 105 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
105 106 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
106 107 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
107 108 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
108 109 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
109 110 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
110 111 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
111 112 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
112 113 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
113 114 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
114 115 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
115 116 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
116 117 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
117 118 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
118 119 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
119 120 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
120 121 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
121 122 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
122 123 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
123 124 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
124 125 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
125 126 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
126 127 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
127 128 2.7377e+00 2.5576e+00 2.7300e+00 2.9453e+00
